District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,Student Open Date,School ID,State
The Bridge Academy District,The Bridge Academy,Public Charter Schools,2696113,160 Pulaski Street,Bridgeport,6608,203-336-9999,01-07-1997,1054,CT
Stamford School District,K. T. Murphy School,Public Schools,1350511,19 Horton St.,Stamford,6902,203-977-4516,01-07-1984,1055,CT
Union School District,Union School District,Public School Districts,1450011,18 Kinney Hollow Road,Union,6076,860-684-3146,01-07-1996,1056,CT
Fairfield School District,Osborn Hill School,Public Schools,511811,760 Stillson Rd.,Fairfield,6824,203-255-8340,01-07-1997,1057,CT
Trumbull School District,Hillcrest Middle School,Public Schools,1445211,530 Daniels Farm Rd.,Trumbull,6611,203-452-4466,01-07-1984,1058,CT
Hartford School District,Wish Museum School,Public Schools,642211,104 Vine Street,Hartford,6112,860-695-5600,01-07-1984,1059,CT
Newtown School District,Head O'Meadow Elementary School,Public Schools,970411,94 Boggs Hill Rd.,Newtown,6470,203-426-7670,01-07-1984,1060,CT
Seymour School District,Seymour High School,Public Schools,1246111,2 Botsford Rd.,Seymour,6483,203-888-2561,01-07-1984,1061,CT
New Haven School District,East Rock Community Magnet School,Public Schools,934611,133 Nash St.,New Haven,6511,475-220-5900,01-07-1984,1062,CT
Greenwich School District,Julian Curtiss School,Public Schools,570311,180 East Elm St.,Greenwich,6830,203-869-1896,01-07-1984,1063,CT
East Hartford School District,East Hartford School District,Public School Districts,430011,1110 Main Street,East Hartford,6108,860-622-5100,01-07-1996,1064,CT
Brooklyn School District,Brooklyn School District,Public School Districts,190011,119 Gorman Road,Brooklyn,6234,860-774-9732,01-07-1996,1065,CT
Easton School District,Samuel Staples Elementary School,Public Schools,460111,515 Morehouse Road,Easton,6612,203-261-3607,01-07-1984,1066,CT
East Windsor School District,Broad Brook Elementary School,Public Schools,470111,14 Rye St.,East Windsor,6016,860-623-2433,01-07-1984,1067,CT
Ansonia School District,Prendergast School,Public Schools,20811,59 Finney St.,Ansonia,6401,203-736-5080,01-07-1999,1068,CT
Glastonbury School District,Gideon Welles School,Public Schools,540811,1029 Neipsic Rd.,Glastonbury,6033,860-652-7800,01-07-1997,1069,CT
Cheshire School District,Norton School,Public Schools,250511,414 North Brooksvale Rd.,Cheshire,6410,203-272-7283,01-07-1984,1070,CT
Waterbury School District,Wilby High School,Public Schools,1516311,568 Bucks Hill Rd.,Waterbury,6704,203-574-8100,01-07-1984,1071,CT
Stamford School District,Stillmeadow School,Public Schools,1352111,800 Stillwater Rd.,Stamford,6902,203-977-4507,01-07-1984,1072,CT
Colchester School District,Colchester School District,Public School Districts,280011,"127 Norwich Avenue, Suite 202",Colchester,6415,860-537-7267,01-07-1996,1073,CT
Hamden School District,Shepherd Glen School,Public Schools,620111,1 Skiff St. Ext.,Hamden,6514,203-407-2070,01-07-1984,1074,CT
Naugatuck School District,Naugatuck High School,Public Schools,886111,543 Rubber Ave.,Naugatuck,6770,203-720-5400,01-07-1984,1075,CT
Fairfield School District,Riverfield School,Public Schools,511211,1625 Mill Plain Rd.,Fairfield,6824,203-255-8328,01-07-1984,1076,CT
Hartford School District,Burns Latino Studies Academy,Public Schools,640611,195 Putnam Street,Hartford,6106,860-695-2980,01-07-1984,1077,CT
Farmington School District,East Farms School,Public Schools,520411,25 Wolf Pit Rd.,Farmington,6032,860-674-9519,01-07-1987,1078,CT
Bridgeport School District,Paul Laurence Dunbar School,Public Schools,154111,445 Union Ave.,Bridgeport,6607,203-576-7194,01-07-1984,1079,CT
Stamford School District,Rippowam Middle School,Public Schools,1355811,381 High Ridge Rd.,Stamford,6905,203-977-5255,01-07-2001,1080,CT
Eastford School District,Eastford Elementary School,Public Schools,390111,"12 Westford Road, P.O. Box 158",Eastford,6242,860-974-1130,01-07-1984,1081,CT
Manchester School District,Martin School,Public Schools,771611,140 Dartmouth Rd.,Manchester,6040,860-647-3367,01-07-1984,1082,CT
Waterbury School District,Driggs School,Public Schools,1510911,77 Woodlawn Terrace,Waterbury,6710,203-574-8160,01-07-1984,1083,CT
Milford School District,Orange Avenue School,Public Schools,840811,260 Orange Ave.,Milford,6460,203-783-3537,01-07-1984,1084,CT
Southington School District,Flanders Elementary School,Public Schools,1311311,100 Victoria Dr.,Southington,6489,860-628-3372,01-07-1984,1085,CT
Regional School District 10,Lewis S. Mills High School,Regional Schools,2106112,26 Lyon Rd.,Burlington,6013,860-673-0423,01-07-2002,1086,CT
Orange School District,Orange School District,Public School Districts,1070011,637 Orange Center Road,Orange,6477,203-891-8020,01-07-1996,1087,CT
Regional School District 04,Valley Regional High School,Regional Schools,2046112,256 Kelsey Hill Rd.,Deep River,6417,860-526-5328,01-07-2002,1088,CT
Kent School District,Kent School District,Public School Districts,680011,9 Judd Avenue,Kent,6757,860-927-3537,01-07-1996,1089,CT
Department of Mental Health and Addiction Services,Greater Bridgeport Community Mental Health Center,State Agency Facilities,3370515,1635 Central Ave.,Bridgeport,6610,860-262-7175,01-07-2007,1090,CT
Stratford School District,David Wooster Middle School,Public Schools,1385211,150 Lincoln Street,Stratford,6615,203-385-4275,01-07-1984,1091,CT
West Haven School District,Washington School,Public Schools,1561211,255 Meloy Road,West Haven,6516,203-931-6880,01-07-1984,1092,CT
Norwalk School District,Rowayton School,Public Schools,1031311,1 Roton Avenue,Norwalk,6853,203-899-2940,01-07-1984,1093,CT
New Fairfield School District,New Fairfield High School,Public Schools,916111,54 Gillotti Rd.,New Fairfield,6812,203-312-5800,01-07-1984,1094,CT
Regional School District 13,Frederick Brewster School,Regional Schools,2130112,126 Tuttle Rd.,Durham,6422,860-349-7227,01-07-2002,1095,CT
Portland School District,Brownstone Intermediate School,Public Schools,1130511,314 Main St.,Portland,6480,860-342-6765,01-07-2004,1096,CT
Rocky Hill School District,Myrtle H. Stevens School,Public Schools,1190411,322 Orchard St.,Rocky Hill,6067,860-258-7751,01-07-1984,1097,CT
Elm City College Preparatory School District,Elm City College Preparatory School District,Public Charter School Districts,2890013,370 James Street,New Haven,6513,203-498-0702,01-07-2009,1098,CT
West Haven School District,West Haven School District,Public School Districts,1560011,355 Main Street,West Haven,6516,203-937-4300,01-07-1996,1099,CT
Bristol School District,Ivy Drive School,Public Schools,171911,160 Ivy Dr.,Bristol,6010,860-584-7844,01-07-1998,1100,CT
Stamford School District,Julia A. Stark School,Public Schools,1351211,398 Glenbrook Rd.,Stamford,6906,203-977-4583,01-07-1984,1101,CT
Wallingford School District,Cook Hill School,Public Schools,1481011,57 Hall Road,Wallingford,6492,203-284-5400,01-07-1984,1102,CT
Watertown School District,Watertown School District,Public School Districts,1530011,61 Echo Lake Road,Watertown,6795,860-945-4800,01-07-1996,1103,CT
Ledyard School District,Ledyard Middle School,Public Schools,725111,1860 Route 12,Gales Ferry,6335,860-464-3188,01-07-1984,1104,CT
Regional School District 17,Haddam-Killingworth High School,Regional Schools,2176112,95 Little City Road,Higganum,6441,860-345-8541,01-07-2002,1105,CT
Hartland School District,Hartland School District,Public School Districts,650011,30 South Road,East Hartland,6027,860-653-7207,01-07-1996,1106,CT
North Stonington School District,North Stonington Elementary School,Public Schools,1020111,311 Norwich/Westerly Rd.,North Stonington,6359,860-535-2805,01-07-1984,1107,CT
Thomaston School District,Thomaston Center School,Public Schools,1400211,1 Thomas Ave.,Thomaston,6787,860-283-3036,01-07-1997,1108,CT
Salisbury School District,Salisbury Central School,Public Schools,1220111,"45 Lincoln City Road, P.O. Box 1808",Lakeville,6039,860-435-9871,01-07-1984,1109,CT
Shelton School District,Sunnyside School,Public Schools,1260611,418 River Rd.,Shelton,6484,203-922-3021,01-07-1990,1110,CT
The Gilbert School District,The Gilbert School District,Endowed and Incorporated Academies Districts,9020022,200 Williams Avenue,Winsted,6098,860-379-6163,01-07-2000,1111,CT
Willington School District,Willington School District,Public School Districts,1600011,"40A Old Farms Road,",Willington,6279,860-487-3130,01-07-1996,1112,CT
Middletown School District,MacDonough School,Public Schools,830911,66 Spring St.,Middletown,6457,860-347-8553,01-07-1984,1113,CT
Guilford School District,Guilford School District,Public School Districts,600011,"Box 367, 55 Park Street",Guilford,6437,203-453-8200,01-07-1996,1114,CT
Learn,Learn,Regional Education Service Center School Districts,2450014,44 Hatchetts Hill Road,Old Lyme,6371,860-434-4800,01-07-2000,1115,CT
Newington School District,Newington School District,Public School Districts,940011,131 Cedar Street,Newington,6111,860-667-2000,01-07-1996,1116,CT
Explorations District,Explorations,Public Charter Schools,2726113,71 Spencer St.,Winsted,6098,860-738-9070,01-07-1997,1117,CT
Madison School District,Dr. Robert H. Brown Intermediate School,Public Schools,760611,980 Durham Rd.,Madison,6443,203-245-6400,01-07-2004,1118,CT
Trumbull School District,Jane Ryan School,Public Schools,1440411,190 Park Ln.,Trumbull,6611,203-452-4400,01-07-1984,1119,CT
New Milford School District,Sarah Noble Intermediate School,Public Schools,960911,25 Sunny Valley Rd.,New Milford,6776,860-210-4020,01-07-2001,1120,CT
Wolcott School District,Frisbie School,Public Schools,1660211,24 Todd Rd.,Wolcott,6716,203-879-8146,01-07-1984,1121,CT
New Fairfield School District,New Fairfield School District,Public School Districts,910011,3 Brush Hill Road,New Fairfield,6812,203-312-5770,01-07-1996,1122,CT
Norwalk School District,Ponus Ridge STEAM Academy,Public Schools,1035311,21 Hunters Lane,Norwalk,6850,203-847-3557,01-07-1984,1123,CT
Meriden School District,Orville H. Platt High School,Public Schools,806211,220 Coe Ave.,Meriden,6450,203-235-7963,01-07-1984,1124,CT
Waterbury School District,Regan School,Public Schools,1512811,2780 North Main St.,Waterbury,6704,203-574-8187,01-07-1984,1125,CT
Wilton School District,Cider Mill School,Public Schools,1610711,240 School Rd.,Wilton,6897,203-762-3351,01-07-1997,1126,CT
Rocky Hill School District,Albert D. Griswold Middle School,Public Schools,1195111,144 Bailey Rd.,Rocky Hill,6067,860-258-7741,01-07-1984,1127,CT
Stratford School District,Nichols School,Public Schools,1380911,396 Nichols Avenue,Stratford,6614,203-385-4294,01-07-1984,1128,CT
Chester School District,Chester Elementary School,Public Schools,260111,23 Ridge Rd.,Chester,6412,860-526-5797,01-07-1984,1129,CT
Branford School District,John B. Sliney School,Public Schools,141611,23 Eades St.,Branford,6405,203-481-5386,01-07-1984,1130,CT
Barkhamsted School District,Barkhamsted School District,Public School Districts,50011,65 Ripley Hill Road,Barkhamsted,6063,860-738-4016,01-07-1996,1131,CT
Danbury School District,Mill Ridge Primary School,Public Schools,340511,49A High Ridge Rd.,Danbury,6811,203-797-4781,01-07-1984,1132,CT
East Granby School District,East Granby High School,Public Schools,406111,95 South Main St.,East Granby,6026,860-653-2541,01-07-1984,1133,CT
Torrington School District,Torrington School District,Public School Districts,1430011,355 Migeon Avenue,Torrington,6790,860-489-2327,01-07-1996,1134,CT
Bridgeport School District,Classical Studies Academy,Public Schools,152111,240 Linwood Ave.,Bridgeport,6604,203-576-7188,01-07-1984,1135,CT
Wethersfield School District,Charles Wright School,Public Schools,1591011,186 Nott St.,Wethersfield,6109,860-571-8350,01-07-1984,1136,CT
Bridgeport School District,Thomas Hooker School,Public Schools,151311,138 Roger Williams Rd.,Bridgeport,6610,203-576-7185,01-07-1984,1137,CT
Windham School District,Windham Middle School,Public Schools,1635111,123 Quarry St.,Willimantic,6226,860-465-2351,01-07-1984,1138,CT
Darien School District,Darien School District,Public School Districts,350011,"35 Leroy Ave., Box 1167",Darien,6820,203-656-7400,01-07-1996,1139,CT
Fairfield School District,Fairfield Ludlowe High School,Public Schools,516011,785 Unquowa Rd.,Fairfield,6824,203-255-7201,01-07-2005,1140,CT
Pomfret School District,Pomfret School District,Public School Districts,1120011,20 Pomfret Street,Pomfret Center,6259,860-928-2718,01-07-1996,1141,CT
Vernon School District,Maple Street School,Public Schools,1460211,20 Maple St.,Rockville,6066,860-870-6175,01-07-1984,1142,CT
Capitol Region Education Council,Academy of Science and Innovation,Regional Education Service Center Schools,2416514,600 Slater Road,New Britain,6053,860-223-0726,30-08-2010,1143,CT
Naugatuck School District,Hop Brook Elementary School,Public Schools,880511,75 Crown Street,Naugatuck,6770,203-720-5231,01-07-1984,1144,CT
Hartford School District,Rawson School,Public Schools,641711,260 Holcomb Street,Hartford,6112,860-695-4840,01-07-1984,1145,CT
Norfolk School District,Norfolk School District,Public School Districts,980011,128 Greenwoods Rd East,Norfolk,6058,860-542-5553,01-07-1996,1146,CT
Bristol School District,South Side School,Public Schools,171111,21 Tuttle Rd.,Bristol,6010,860-584-7812,01-07-1998,1147,CT
Canaan School District,Lee H. Kellogg School,Public Schools,210111,47 Main St.,Falls Village,6031,860-824-7791,01-07-1984,1148,CT
Enfield School District,Edgar H. Parkman School,Public Schools,491311,165 Weymouth Rd.,Enfield,6082,860-253-6570,01-07-1984,1149,CT
East Haven School District,Dominick H. Ferrara School,Public Schools,441311,22 Maynard Rd.,East Haven,6512,203-468-3318,01-07-1984,1150,CT
Griswold School District,Griswold Middle School,Public Schools,585111,211 Slater Ave.,Griswold,6351,860-376-7630,01-07-1992,1151,CT
Monroe School District,Monroe Elementary School,Public Schools,850111,375 Monroe Tpke.,Monroe,6468,203-452-2870,01-07-1984,1152,CT
Stamford School District,Dolan School,Public Schools,1355311,51 Toms Rd.,Stamford,6906,203-977-4441,01-07-1984,1153,CT
Guilford School District,A. Baldwin Middle School,Public Schools,600711,68 Bullard Dr.,Guilford,6437,203-457-0222,01-07-1997,1154,CT
Cheshire School District,Cheshire School District,Public School Districts,250011,29 Main Street,Cheshire,6410,203-250-2400,01-07-1996,1155,CT
Middletown School District,Beman Middle School,Public Schools,835411,1 Wilderman's Way,Middletown,6457,860-347-8594,01-07-1997,1156,CT
West Hartford School District,Bugbee School,Public Schools,1550411,1943 Asylum Ave.,West Hartford,6117,860-929-5500,01-07-1984,1157,CT
Hartford School District,Kinsella Magnet School of Performing Arts: High School Campus,Public Schools,641710,415 Granby Street,Hartford,6112,860-695-2040,01-07-2022,1158,CT
Bridgeport School District,Multicultural Magnet School,Public Schools,154611,700 Palisade Ave.,Bridgeport,6610,203-576-7505,01-07-1997,1159,CT
Westbrook School District,Daisy Ingraham School,Public Schools,1540211,105 Goodspeed Dr.,Westbrook,6498,860-399-7925,01-07-1984,1160,CT
Windsor School District,John F. Kennedy School,Public Schools,1640811,530 Park Ave.,Windsor,6095,860-687-2060,01-07-1984,1161,CT
Waterford School District,Great Neck Elementary School,Public Schools,1520211,165 Great Neck Rd.,Waterford,6385,860-442-2593,31-08-2010,1162,CT
Unified School District #1,Hartford Correctional Center,State Agency Facilities,3360615,177 Weston St.,Hartford,6120,860-240-1865,01-07-2000,1163,CT
Greenwich School District,North Mianus School,Public Schools,570711,309 Palmer Hill Rd.,Riverside,6878,203-637-9730,01-07-1984,1164,CT
Norwich School District,Teachers' Memorial Global Studies Magnet Middle School,Public Schools,1045211,15 Teachers Dr.,Norwich,6360,860-823-4212,01-07-1984,1165,CT
New Haven School District,Davis Academy for Arts & Design Innovation,Public Schools,930911,35 Davis St.,New Haven,6515,475-220-7800,01-07-1984,1166,CT
East Hartford School District,Silver Lane School,Public Schools,431211,15 Mercer Ave.,East Hartford,6118,860-622-5500,01-07-1984,1167,CT
Regional School District 05,Amity Regional High School,Regional Schools,2056112,25 Newton Rd.,Woodbridge,6525,203-397-4830,01-07-2002,1168,CT
South Windsor School District,South Windsor School District,Public School Districts,1320011,1737 Main Street,South Windsor,6074,860-291-1200,01-07-1996,1169,CT
New Haven School District,Worthington Hooker School,Public Schools,933811,180 Canner St.,New Haven,6511,475-220-7200,01-07-1984,1170,CT
Norwalk School District,Naramake Elementary School,Public Schools,1032111,16 King Street,Norwalk,6851,203-899-2900,01-07-1984,1171,CT
Simsbury School District,Henry James Memorial School,Public Schools,1285111,155 Firetown Rd.,Simsbury,6070,860-651-3341,01-07-1984,1172,CT
Plainfield School District,Plainfield Memorial School,Public Schools,1090311,95 Canterbury Rd.,Plainfield,6374,860-564-6440,01-07-1984,1173,CT
Montville School District,Montville School District,Public School Districts,860011,800 Old Colchester Road,Oakdale,6370,860-848-1228,01-07-1996,1174,CT
Regional School District 17,Regional School District 17,Regional School Districts,2170012,57 Little City Road,Higganum,6441,860-345-4534,01-07-2002,1175,CT
Unified School District #2,Albert J. Solnit Children's Center- South Campus,State Agency Facilities,3470315,915 River Rd.,Middletown,6457,860-704-4020,01-07-2000,1176,CT
East Hartford School District,Connecticut IB Academy,Public Schools,436311,857 Forbes St.,East Hartford,6118,860-622-5590,01-07-2003,1177,CT
New London School District,New London High School,Public Schools,956111,20 Chester Street,New London,6320,860-437-6400,01-07-1984,1178,CT
Montville School District,Montville High School,Public Schools,866111,800 Old Colchester Rd.,Oakdale,6370,860-848-9208,01-07-1984,1179,CT
Meriden School District,Casimir Pulaski School,Public Schools,801111,100 Clearview Ave.,Meriden,6450,203-238-1273,01-07-1984,1180,CT
Regional School District 13,Coginchaug Regional High School,Regional Schools,2136112,135 Pickett Ln.,Durham,6422,860-349-7215,01-07-2002,1181,CT
Hartford School District,McDonough Middle School,Public Schools,641211,111 Hillside Avenue,Hartford,6106,860-695-4260,01-07-1984,1182,CT
Redding School District,John Read Middle School,Public Schools,1175111,486 Redding Road,Redding,6896,203-938-2533,01-07-1984,1183,CT
East Lyme School District,East Lyme School District,Public School Districts,450011,165 Boston Post Road,East Lyme,6333,860-739-3966,01-07-1996,1184,CT
Wallingford School District,Parker Farms School,Public Schools,1480311,30 Parker Farms Road,Wallingford,6492,203-294-6200,01-07-1987,1185,CT
Bristol School District,Bristol Eastern High School,Public Schools,176211,632 King St.,Bristol,6010,860-584-7876,01-07-1984,1186,CT
Windsor Locks School District,North Street School,Public Schools,1650111,325 North St.,Windsor Locks,6096,860-292-5027,01-07-1984,1187,CT
Westport School District,Green's Farms School,Public Schools,1580411,17 Morningside Dr. South,Westport,6880,203-222-3610,01-07-1999,1188,CT
